id,first_name,last_name,email,gender,ip_address,created_at,type,consumption_date_year,consumption_date_month,consumption_id,start_date,end_date,report_year,updated_at,domain_id,consumer_id,consumer_type,country_id,currency_id,location_type_id,fleet,main_engine_type,gas_type_id,ghg_protocol_scope,consumption_date_qtr,consumption_date_yq,consumption_date_ym,base_monthly_consumption,base_monthly_cost,monthly_consumption,monthly_cost,monthly_nb_employee,monthly_area,monthly_turnover
1,Gael,Crawshaw,gcrawshaw0@usda.gov,Male,3.173.151.130,4/15/2996 11:35:09,varchar(255),88,19,11,3/4/8767,9/13/2606,13,5/9/8967 00:55:49,55,54,varchar(255),91,28,4,varchar(255),varchar(255),68,1,38,95,33,30.08,8.29,83.89,33.35,7.11,12.55,63.15
2,Eustace,Gauford,egauford1@amazon.com,Male,186.58.87.162,11/5/4018 11:05:42,varchar(255),90,14,29,10/6/7783,1/26/5967,37,10/21/8942 14:26:29,75,13,varchar(255),59,8,45,varchar(255),varchar(255),79,25,70,61,83,37.26,69.05,96.08,78.58,88.25,98.2,75.44
3,Patin,Burrus,pburrus2@shinystat.com,Male,4.57.26.211,12/31/6049 10:04:29,varchar(255),25,73,32,10/28/4670,2/5/9572,42,8/25/9114 14:40:12,23,18,varchar(255),9,39,41,varchar(255),varchar(255),7,37,43,80,74,83.5,73.59,43.95,46.17,84.04,18.24,72.92
4,Field,Stokes,fstokes3@eepurl.com,Male,208.196.2.111,1/16/6321 20:15:51,varchar(255),22,86,28,10/30/2969,12/4/8105,78,8/24/6712 01:17:05,60,19,varchar(255),21,48,46,varchar(255),varchar(255),5,18,26,51,9,61.12,70.04,62.21,95.33,93.55,39.45,92.15
5,Cymbre,Copestick,ccopestick4@so-net.ne.jp,Female,25.162.78.68,10/26/2267 21:48:40,varchar(255),63,71,65,7/20/4792,2/12/9659,85,4/13/3309 20:14:25,23,31,varchar(255),34,72,40,varchar(255),varchar(255),59,29,99,61,47,79.19,97.87,3.97,98.81,85.59,90.88,15.39
6,Spenser,Iscowitz,siscowitz5@facebook.com,Genderfluid,8.127.85.2,6/18/3185 22:16:09,varchar(255),8,17,95,12/27/2725,5/31/3503,50,5/23/2360 07:53:41,67,40,varchar(255),73,1,60,varchar(255),varchar(255),20,37,57,74,43,83.13,98.9,31.39,99.61,58.28,64.39,5.76
7,Yul,Speechly,yspeechly6@fda.gov,Male,37.98.115.196,1/3/6878 23:59:22,varchar(255),44,75,97,6/2/4177,3/22/9649,26,9/2/5443 05:50:13,98,37,varchar(255),43,95,96,varchar(255),varchar(255),70,12,4,83,38,62.76,14.52,60.15,49.79,14.41,73.36,95.0
8,Darcy,Ghidetti,dghidetti7@hostgator.com,Male,142.207.80.183,2/9/6619 23:02:39,varchar(255),66,78,57,9/15/6790,10/3/2441,26,7/14/3084 16:12:06,53,43,varchar(255),71,91,55,varchar(255),varchar(255),50,11,31,95,93,51.83,20.92,78.23,5.8,82.39,50.75,1.97
9,Goldie,Mosdell,gmosdell8@1und1.de,Female,58.26.175.74,4/6/3513 21:52:56,varchar(255),63,93,58,5/20/9264,9/14/9779,55,2/10/3332 21:11:22,58,95,varchar(255),86,63,5,varchar(255),varchar(255),52,23,72,78,74,70.56,38.94,34.61,68.24,34.33,88.47,61.58
10,Muffin,Brackley,mbrackley9@privacy.gov.au,Male,12.25.45.188,6/20/5014 09:12:52,varchar(255),29,62,46,12/16/3042,12/29/7989,91,2/22/9806 06:15:02,43,48,varchar(255),77,68,24,varchar(255),varchar(255),49,69,16,70,55,86.39,18.98,32.05,57.11,92.67,16.68,36.54
